program,program_id,method,access_class,evidence,recent_transactions,recent_success,recent_failed,one_signer_messages,two_signer_messages,one_signer_success,one_signer_failed,two_signer_success,two_signer_failed,ch_only_success_evidence,ch_plus_user_evidence,effect,caveat
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,Init,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,UpdateConfig,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,ConfirmAdminRotation,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,Migrate,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,RepayByWorker,worker_automation,observed_recent_window,1697,1697,0,1697,0,1697,0,0,0,true,false,Move card-account USDC through the configured settlement path; recent evidence splits value between the CCTP bridge-owned recipient and the XPlace 2 Config fee vault.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,ReclaimByWorker,worker_automation,observed_recent_window,11,11,0,11,0,11,0,0,0,true,false,"Reclaim card funds and atomically feed XPlace 1 RepayByWorkerKamino, which CPIs into Kamino repayment.","Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,CreateAccount,hybrid_lifecycle_or_user_worker,observed_recent_window,36,34,2,36,0,34,2,0,0,true,false,Create the program-specific user/card account state and associated PDA links.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,UpdateRepayLimit,user_position,observed_recent_window,31,30,1,0,31,0,0,30,1,false,true,Update per-transaction/daily card repayment limits with user-linked authorization.,"Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,TopUp,user_position,observed_recent_window,939,837,102,939,0,837,102,0,0,true,false,"Fund an XPlace 2 card PDA in USDC, subject to account and token constraints.","Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,Withdraw,user_position,observed_recent_window,482,474,8,0,482,0,0,474,8,false,true,"Withdraw USDC from an XPlace 2 card PDA; recent two-signer bundles continue into user payout, Kamino repay/deposit, Jupiter routes, or Relay Bridge.","Observed signer layout proves the concrete captured transaction form only; it does not remove per-account, whitelist, limit, balance, oracle, bundle, or downstream protocol checks."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,WithdrawByWorker,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed worker withdrawal path; no execution observed in the decoded transaction window.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,TakeSubscriptionPayment,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed constrained subscription collection path.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,WithdrawRevenue,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,UpdateSubscriptionConfig,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 2,Ar2YWzaGxR55YKLx2jNdXuD6RrX9tbu3EsKvxgF7EZa7,ReturnRefund,worker_automation,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed worker refund return path.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,Init,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,UpdateConfig,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,ExtendWhitelist,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,ConfirmAdminRotation,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
XPlace Program 1,CWhvrgNvYNdkT4gnjPcdVxaNB8HQkXgBTsJAwp3GaHop,WithdrawRevenue,admin_config,binary_surface_only,0,0,0,0,0,0,0,0,0,false,false,Binary-exposed program method; see on-chain account and instruction checks.,"Method name and guardrails are present in the current on-chain binary, but no execution is present in the decoded recent window; this is a potential branch, not proven CH access."
